"filename", "language", "XML", "Java", "Properties", "Batch", "comment", "blank", "total"
"d:\Coding\spring_projects\myevents\.mvn\wrapper\maven-wrapper.properties", "Properties", 0, 0, 2, 0, 0, 1, 3
"d:\Coding\spring_projects\myevents\mvnw.cmd", "Batch", 0, 0, 0, 102, 51, 36, 189
"d:\Coding\spring_projects\myevents\pom.xml", "XML", 49, 0, 0, 0, 0, 4, 53
"d:\Coding\spring_projects\myevents\src\main\java\it\myevents\myevents\MyeventsApplication.java", "Java", 0, 9, 0, 0, 0, 3, 12
"d:\Coding\spring_projects\myevents\src\main\java\it\myevents\myevents\dao\CittaDAO.java", "Java", 0, 42, 0, 0, 0, 9, 51
"d:\Coding\spring_projects\myevents\src\main\java\it\myevents\myevents\dao\EventiSalvatiDAO.java", "Java", 0, 35, 0, 0, 0, 7, 42
"d:\Coding\spring_projects\myevents\src\main\java\it\myevents\myevents\dao\EventoDAO.java", "Java", 0, 45, 0, 0, 0, 9, 54
"d:\Coding\spring_projects\myevents\src\main\java\it\myevents\myevents\dao\LocationDAO.java", "Java", 0, 43, 0, 0, 0, 8, 51
"d:\Coding\spring_projects\myevents\src\main\java\it\myevents\myevents\dao\OccorrenzaEventoDAO.java", "Java", 0, 33, 0, 0, 0, 7, 40
"d:\Coding\spring_projects\myevents\src\main\java\it\myevents\myevents\dao\ProvinciaDAO.java", "Java", 0, 39, 0, 0, 0, 9, 48
"d:\Coding\spring_projects\myevents\src\main\java\it\myevents\myevents\dao\SQLException.java", "Java", 0, 3, 0, 0, 0, 3, 6
"d:\Coding\spring_projects\myevents\src\main\java\it\myevents\myevents\dao\TipoEventoDAO.java", "Java", 0, 35, 0, 0, 0, 7, 42
"d:\Coding\spring_projects\myevents\src\main\java\it\myevents\myevents\dao\TipologiaDAO.java", "Java", 0, 32, 0, 0, 0, 8, 40
"d:\Coding\spring_projects\myevents\src\main\java\it\myevents\myevents\dao\UtenteDAO.java", "Java", 0, 43, 0, 0, 0, 9, 52
"d:\Coding\spring_projects\myevents\src\main\java\it\myevents\myevents\file\CittaFromFile.java", "Java", 0, 26, 0, 0, 0, 6, 32
"d:\Coding\spring_projects\myevents\src\main\java\it\myevents\myevents\file\EventoFromFile.java", "Java", 0, 29, 0, 0, 2, 6, 37
"d:\Coding\spring_projects\myevents\src\main\java\it\myevents\myevents\file\LocationFromFile.java", "Java", 0, 27, 0, 0, 0, 6, 33
"d:\Coding\spring_projects\myevents\src\main\java\it\myevents\myevents\file\ProvinciaFromFile.java", "Java", 0, 15, 0, 0, 0, 6, 21
"d:\Coding\spring_projects\myevents\src\main\java\it\myevents\myevents\file\TipologiaFromFile.java", "Java", 0, 14, 0, 0, 0, 7, 21
"d:\Coding\spring_projects\myevents\src\main\java\it\myevents\myevents\file\UtenteFromFile.java", "Java", 0, 27, 0, 0, 0, 6, 33
"d:\Coding\spring_projects\myevents\src\main\java\it\myevents\myevents\pojos\Citta.java", "Java", 0, 37, 0, 0, 0, 10, 47
"d:\Coding\spring_projects\myevents\src\main\java\it\myevents\myevents\pojos\Data.java", "Java", 0, 37, 0, 0, 0, 10, 47
"d:\Coding\spring_projects\myevents\src\main\java\it\myevents\myevents\pojos\EventiSalvati.java", "Java", 0, 25, 0, 0, 0, 7, 32
"d:\Coding\spring_projects\myevents\src\main\java\it\myevents\myevents\pojos\Evento.java", "Java", 0, 76, 0, 0, 0, 19, 95
"d:\Coding\spring_projects\myevents\src\main\java\it\myevents\myevents\pojos\Location.java", "Java", 0, 64, 0, 0, 0, 16, 80
"d:\Coding\spring_projects\myevents\src\main\java\it\myevents\myevents\pojos\OccorrenzaEvento.java", "Java", 0, 25, 0, 0, 0, 8, 33
"d:\Coding\spring_projects\myevents\src\main\java\it\myevents\myevents\pojos\Provincia.java", "Java", 0, 33, 0, 0, 0, 9, 42
"d:\Coding\spring_projects\myevents\src\main\java\it\myevents\myevents\pojos\TipoEvento.java", "Java", 0, 25, 0, 0, 0, 8, 33
"d:\Coding\spring_projects\myevents\src\main\java\it\myevents\myevents\pojos\Tipologia.java", "Java", 0, 17, 0, 0, 0, 5, 22
"d:\Coding\spring_projects\myevents\src\main\java\it\myevents\myevents\pojos\Utente.java", "Java", 0, 64, 0, 0, 0, 16, 80
"d:\Coding\spring_projects\myevents\src\main\java\it\myevents\myevents\runner\CreazioneDDL.java", "Java", 0, 116, 0, 0, 9, 22, 147
"d:\Coding\spring_projects\myevents\src\main\java\it\myevents\myevents\runner\PopolaDB.java", "Java", 0, 42, 0, 0, 5, 7, 54
"d:\Coding\spring_projects\myevents\src\main\java\it\myevents\myevents\util\ConnectionFactory.java", "Java", 0, 31, 0, 0, 2, 7, 40
"d:\Coding\spring_projects\myevents\src\main\java\it\myevents\myevents\util\DAO.java", "Java", 0, 102, 0, 0, 0, 15, 117
"d:\Coding\spring_projects\myevents\src\main\java\it\myevents\myevents\util\ReadFromFile.java", "Java", 0, 49, 0, 0, 0, 5, 54
"d:\Coding\spring_projects\myevents\src\main\resources\application.properties", "Properties", 0, 0, 0, 0, 0, 1, 1
"d:\Coding\spring_projects\myevents\src\test\java\it\myevents\myevents\MyeventsApplicationTests.java", "Java", 0, 9, 0, 0, 0, 5, 14
"Total", "-", 49, 1249, 2, 102, 69, 327, 1798