Cinema Vivid,Via Sergio Ramelli,101,41100,Modena
Cinema Luxe,Via di Blasi Francesco Paolo,25,90144,Palermo
Cinema Bozen,Via G. Galilei,20,39100,Bolzano
UCI Cinemas Red Carpet,Via Enzo Ferrari,10,75100,Matera
Cinema Maximo,Via Laurentina,865,00143,Roma
Cinema Showville,Via Mario Giannini,9,70125,Bari
UCI Cinemas Meridiana,Via Aldo Moro,3,40033,Casalecchio di Reno
Cinema Adriano,Piazza Cavour,22,00193,Roma
Cinema Sivori,Salita Santa Caterina,48,16123,Genova
Cinema Moderno,Piazza della Pace,9,00042,Anzio
Museo Oceanografico,Calata Ansaldo De Mari,1,16126,Genova
Museo Minerario,Piazza di Porta S. Donato,1,40126,Bologna
Museo della Scienza,Via San Vittore,21,20123,Milano
Museo Astronomico,Via Osservatorio,30,10025,Pino Torinese
Museo della Fisica,Via Mezzocannone,8,80134,Napoli
Modern Art Museum,Via Palestro,16,20121,Milano
Museo Ieri e Oggi,Via Luigi Settembrini,79,80139,Napoli
Museo di Zoologia,Via Giuseppe Jappelli,1,35131,Padova
Museo della Tecnologia,Via Sabotino,4,00195,Roma
Museo delle Antiche Civiltà,Via Accademia delle Scienze,6,10123,Torino
Teatro Ballet,Via Francesco Cigna,5,10152,Torino
Teatro Cigno Nero,Via Roma,39,42121,Reggio Emilia
Teatro Diamante,Via Luca Giordano,64,80127,Napoli
Teatro Argento,Via Pace,1,44011,Argenta
Auditorium della Concordia,Via Aldo Moro,1,57021,Campiglia Marittima
Teatro Zaffiro,Via Filodrammatici,2,20121,Milano
Teatro Rubini,Via Ippolito Nievo,18,46100,Mantova
Auditorium Emerald,Via Gabriele D'Annunzio,6,07100,Sassari
Teatro La Perla,Via Mirabello,47,35038,Torreglia
Auditorium della Musica,Via delle Rose,35,80063,Piano di Sorrento
Parco dei Fiori,Via Pergola,73,25080,Moniga del Garda
Rabbit Park,Viale Mariano Rumor,55,36100,Vicenza
Parco Acquatico,Piazza Marco Polo,4,47042,Cesenatico
Luna Park,Via Rivoltana,64,20090,Segrate
Parco dei Gatti di Roma,Via Lemonia,94,00174,Roma
Parco delle Rose,Viale Giuseppe Poggi,2,50125,Firenze
Parco delle farfalle,Via Dietro Serra,6,95029,Viagrande
Parco degli artisti,Via degli Artisti,1,35136,Padova
Discoteca Random,Viale dell'Agricoltura,91,00144,Roma
DiscoPub I Moschettieri,Via Marchese di Casalotto,11,95131,Catania
Pub dei Girovaghi,Via del Ridotto,22,10147,Torino
Discoteca NeonDance,Via Alfieri Maserati,9,40127,Bologna
Discoteca Eclipse,Viale Brindisi,20,47924,Rimini
MusicBar Melody,Via Guglielmo Marconi,22,15011,Acqui Terme
Discoteca Stellary,Via G. Pianell,1,66100,Chieti
Pub Oltremare,Via del Capitano,8,53100,Siena
DiscoPub Nottebrava,Via Darsena Orientale,83,81030,Castel Volturno
Discoteca StroboSun,Via Palazzuolo,37,50123,Firenze
Pub Le Amazzoni,Viale Alfa Romeo,52,80038,Pomigliano d'Arco
Discoteca Golden Velvet,Via Taro,28,00199,Roma